match_Id,game_duration,start_timestamp,champ_name,dam_to_buildings,kills,assists,deaths,kda,win,gold_earned,total_heal,total_dam_taken,total_dam_dealt,total_minions_killed,vision_score
NA1_4913558423,1858,1707177077186,Mordekaiser,6090,13,5,4,4.5,0,12924,8543,29262,109474,123,13
NA1_4913617199,2088,1707180845457,Mordekaiser,5258,11,10,1,21,1,14491,7250,17365,153804,186,18
NA1_4913654573,1419,1707183258663,Mordekaiser,2677,2,3,2,2.5,1,7762,2836,9128,100841,142,9
NA1_4913696837,2368,1707185159073,DrMundo,4840,4,15,4,4.75,1,14272,13121,46286,200388,230,16
NA1_4913745800,2553,1707187839768,Mordekaiser,1928,13,8,9,2.33333,1,14252,13334,43956,109772,117,18
NA1_4913801149,1081,1707190794423,Chogath,731,1,1,2,1,0,4729,1562,9818,53765,84,3
NA1_4913823632,1665,1707192361335,DrMundo,7391,8,6,4,3.5,0,11182,8043,33981,121071,157,4
NA1_4913863779,2021,1707194325403,Mordekaiser,1231,3,7,7,1.42857,0,9322,4828,28925,83054,108,6
NA1_4914554115,2649,1707270634493,Mordekaiser,1594,5,9,6,2.33333,1,13024,10690,37086,117479,148,23
NA1_4914611122,1995,1707273611813,Mordekaiser,3414,8,3,3,3.66667,1,12425,10790,23776,137244,172,9
NA1_4914665108,2371,1707276446664,Mordekaiser,4147,6,4,4,2.5,0,12938,6072,25973,136147,187,21
NA1_4914718537,916,1707279330081,DrMundo,2162,0,1,0,1,0,4760,3315,6944,53861,94,6
NA1_4914743241,1538,1707280722902,Malphite,4481,3,3,2,3,1,8928,562,10015,81315,134,12
NA1_4915384513,1940,1707352091822,Malphite,2077,3,8,3,3.66667,1,9883,3828,15320,127615,169,18
NA1_4915446487,1116,1707355485998,Mordekaiser,2405,5,0,1,5,1,7165,1430,5306,60851,108,8
NA1_4915474312,2789,1707356898584,DrMundo,4012,14,9,4,5.75,0,17157,25073,106344,161221,194,14
NA1_4916511548,2368,1707441993704,DrMundo,4510,4,10,2,7,1,12962,11002,37635,186989,215,18
NA1_4916566499,2417,1707444732813,Mordekaiser,2473,8,1,4,2.25,0,13717,13353,38711,179171,212,16
NA1_4920572984,1422,1707779699470,Mordekaiser,4005,5,4,3,3,0,8757,4564,16717,98641,136,4
NA1_4920621735,2356,1707783009944,Mordekaiser,0,10,6,7,2.28571,0,13605,10710,44687,146498,153,9
NA1_4922454085,2440,1707960645179,DrMundo,12957,7,16,2,11.5,1,16782,14999,49071,223040,228,15
NA1_4928383425,960,1708488413522,Mordekaiser,2842,6,1,0,7,1,7231,2491,5743,56706,104,3
NA1_4928424644,2322,1708490787920,Mordekaiser,5822,15,9,6,4,1,15608,10185,31714,145916,141,16
NA1_4928484344,1779,1708494164814,Mordekaiser,1741,8,2,6,1.66667,0,10245,5457,29064,100237,113,7
NA1_4929189198,1648,1708572955611,DrMundo,2843,3,6,0,9,1,9112,9103,26453,107432,140,17
NA1_4929229981,1293,1708575234724,Mordekaiser,5545,9,7,1,16,1,9878,4011,10528,80767,101,10
NA1_4929255787,1565,1708577021815,Zac,0,1,2,5,0.6,0,6579,9203,25384,45921,81,4
NA1_4929286191,2369,1708579187155,DrMundo,9447,5,19,4,6,1,13716,13536,50946,161085,178,13
NA1_4929329522,2393,1708582291659,DrMundo,1069,6,8,8,1.75,0,12767,15316,62308,155585,202,21
NA1_4933354715,2080,1708995463350,Mordekaiser,2874,8,9,5,3.4,0,12958,5599,29991,104702,124,19
NA1_4933400100,2182,1708998056092,DrMundo,4598,3,15,4,4.5,1,10137,10633,56799,103343,123,9
NA1_5112162400,1470,1726340800625,DrMundo,1559,2,4,2,3,0,6844,5250,21166,65737,97,3
NA1_5112186944,2071,1726342660361,Mordekaiser,4581,10,10,4,5,1,12021,10420,31196,105496,102,8
NA1_5113978500,1682,1726531391742,Mordekaiser,0,6,2,3,2.66667,0,8314,5827,21064,49775,100,6
NA1_5114011059,1378,1726533338842,DrMundo,6401,7,3,1,10,1,9385,4988,18608,89325,134,6
NA1_5114034367,2074,1726534998881,DrMundo,10299,8,7,0,15,1,14646,8819,38986,196954,214,16
NA1_5114548532,1595,1726601011188,DrMundo,800,3,2,3,1.66667,0,7454,5893,21050,72888,117,10
NA1_5114567258,1166,1726602958087,Mordekaiser,6250,7,1,2,4,1,7849,3564,9493,64178,90,6
NA1_5114584237,2328,1726604597837,DrMundo,5889,3,10,7,1.85714,0,11436,11705,63899,121568,130,9
NA1_5114609928,964,1726607227552,Mordekaiser,663,1,0,2,0.5,0,4635,852,6801,49742,94,9
NA1_5114625113,2045,1726609041952,Yorick,9258,4,9,2,6.5,1,13593,8795,24904,179555,227,16
NA1_5114652514,2225,1726612069420,Mordekaiser,1978,11,7,9,2,0,12096,7505,40567,100796,100,11
NA1_5116841879,1499,1726867254625,Yorick,5779,5,9,0,14,1,9944,5325,12205,94390,129,9
NA1_5116864804,230,1726869292348,DrMundo,0,0,0,0,0,1,1057,244,891,4334,15,0
NA1_5116865429,1133,1726869847997,Yorick,1045,0,1,5,0.2,0,4806,699,11159,53204,80,6
NA1_5116885778,926,1726871273613,Mordekaiser,2247,5,1,0,6,1,5793,1595,5224,40901,79,6
NA1_5116898938,2466,1726872561150,Mordekaiser,4873,11,10,7,3,0,14741,6913,39793,180187,173,13
NA1_5116928173,1562,1726875291756,Mordekaiser,5317,11,6,1,17,1,10452,8235,20257,106942,122,9
NA1_5117542695,2397,1726945092482,DrMundo,8134,2,12,4,3.5,1,11379,14111,55194,126289,146,6
NA1_5117578358,915,1726947864419,Mordekaiser,70,2,0,6,0.333333,0,3519,256,10600,20217,42,3
NA1_5118379387,2183,1727033371401,Mordekaiser,1001,8,2,6,1.66667,1,12370,6203,25453,136422,168,4
NA1_5118409520,1001,1727036095967,DrMundo,0,0,3,0,3,1,4799,4375,5568,51830,92,8
NA1_5118429064,1618,1727037451951,Mordekaiser,2408,4,9,5,2.6,0,8255,4507,24929,62994,82,0
NA1_5118450959,532,1727039436468,Mordekaiser,962,1,0,0,1,1,2651,163,980,22344,38,3
NA1_5118457582,1390,1727040297822,Yorick,3440,2,8,8,1.25,0,6115,1890,19014,41267,49,1
NA1_5118481164,350,1727042170074,Yorick,0,0,0,0,0,1,1509,171,552,8838,30,1
NA1_5118490400,1779,1727042889305,Mordekaiser,1385,5,3,4,2,0,8976,3375,20818,85193,115,4
NA1_5119251196,2295,1727131895065,Mordekaiser,4463,15,8,3,7.66667,1,16151,15970,36588,191801,185,13
NA1_5119283972,1141,1727134547305,Mordekaiser,1168,2,0,1,2,1,5387,1440,7205,58260,97,6
